1508,CHINA REINSURANCE GROUP CO-H,1508,HKD
1509,HARMONICARE MEDICAL HOLDINGS,1509,HKD
151,WANT WANT CHINA HOLDINGS LTD,151,HKD
1513,LIVZON PHARMACEUTICAL GROU-H,1513,HKD
1515,CHINA RESOURCES MEDICAL HOLD,1515,HKD
1518,NEW CENTURY HEALTHCARE HOLDI,1518,HKD
152,SHENZHEN INTL HOLDINGS,152,HKD
1520,CEFC HONG KONG FINANCIAL INV,1520,HKD
1521,FRONTAGE HOLDINGS CORP,1521,HKD
1522,BII RAILWAY TRANSPORTATION T,1522,HKD
1523,PLOVER BAY TECHNOLOGIES LTD,1523,HKD
1526,RICI HEALTHCARE HOLDINGS LTD,1526,HKD
1527,ZHEJIANG TENGY ENVIRONMENT-H,1527,HKD
1528,RED STAR MACALLINE GROUP C-H,1528,HKD
153,CHINA SAITE GROUP CO LTD,153,HKD
1530,3SBIO INC,1530,HKD
1532,CHINA PARTYTIME CULTURE HOLD,1532,HKD
1533,LANZHOU ZHUANGYUAN PASTURE-H,1533,HKD
1536,YUK WING GROUP HOLDINGS LTD,1536,HKD
1538,ZHONG AO HOME GROUP LTD,1538,HKD
1539,SYNERGY GROUP HOLDINGS INTER,1539,HKD
154,BEIJING ENTERPRISES ENVIRONM,154,HKD
1540,LEFT FIELD PRINTING GROUP LT,1540,HKD
1543,GUANGDONG JOIN-SHARE FINAN-H,1543,HKD
1545,DESIGN CAPITAL LTD,1545,HKD
1546,THELLOY DEVELOPMENT GROUP LT,1546,HKD
1547,IBI GROUP HOLDINGS LTD,1547,HKD
1548,GENSCRIPT BIOTECH CORP,1548,HKD
1549,EVER HARVEST GROUP HOLDINGS,1549,HKD
155,CHINA SOLAR ENERGY HOLDINGS,155,HKD
1551,GUANGZHOU RURAL COMMERCIAL-H,1551,HKD
1555,MIE HOLDINGS CORPORATION,1555,HKD
1556,CHINNEY KIN WING HOLDINGS LT,1556,HKD
1558,YICHANG HEC CHANGJIANG PHA-H,1558,HKD
1559,KWAN ON HOLDINGS LTD,1559,HKD
156,LIPPO CHINA RESOURCES LTD,156,HKD
1560,STAR PROPERTIES GROUP CAYMAN,1560,HKD
1563,INTERNATIONAL ALLIANCE FINAN,1563,HKD
1565,VIRSCEND EDUCATION CO LTD,1565,HKD
1566,CHINA ANIMATION CHARACTERS C,1566,HKD
1568,SUNDART HOLDINGS,1568,HKD
1569,MINSHENG EDUCATION GROUP CO,1569,HKD
157,NATURAL BEAUTY BIO-TECH,157,HKD
1570,WEIYE HOLDINGS LTD,1570,HKD
1571,XIN POINT HOLDINGS LTD,1571,HKD
1572,CHINA ART FINANCIAL HOLDINGS,1572,HKD
1573,SOUTHERN ENERGY HOLDINGS GRO,1573,HKD
1575,MORRIS HOLDINGS LTD,1575,HKD
1576,QILU EXPRESSWAY CO LTD,1576,HKD
1577,QUANZHOU HUIXIN MICRO-CRED-H,1577,HKD
1578,BANK OF TIANJIN CO LTD-H,1578,HKD
1579,YIHAI INTERNATIONAL HOLDING,1579,HKD
158,MELBOURNE ENTERPRISES,158,HKD
1580,DA SEN HOLDINGS GROUP LTD,1580,HKD
1581,PROGRESSIVE PATH GROUP HOLDI,1581,HKD
1582,CR CONSTRUCTION GROUP HOLDIN,1582,HKD
1583,QINQIN FOODSTUFFS GROUP CAYM,1583,HKD
1585,YADEA GROUP HOLDINGS LTD,1585,HKD
1586,CHINA LEON INSPECTION HOLDIN,1586,HKD
1587,SHINEROAD INTERNATIONAL HOLD,1587,HKD
